ID,OBJETO_OBRA,CANTIDAD_OBJETOS,MATERIAL,DENOMINACION_SIMBOLIZA,AUTORES,UBICACION,OBSERVACIONES,DIRECCION_NORMALIZADA,CALLE,ALTURA,BARRIO,COMUNA,CODIGA_POSTAL,CODIGO_POSTAL_ARGENTINO,LATITUD,LONGITUD,,,,,,,
29,BUSTO,1,PIEDRA MAR DEL PLATA,MIGUEL DE CERVANTES SAAVEDRA,AZCARATE, ENRIQUE,JARDIN DE LOS POETAS,JARDIN DE LOS POETAS,ISABEL, INFANTA AV. 900,ISABEL, INFANTA AV.,900,,COMUNA 14,1425,C1425CHA,-34.5700668,-58.42048287,,,,
31,ESTATUA,1,BRONCE,LA COSECHADORA,BADIN, JEAN VICTOR,,,MITRE, EMILIO 793,MITRE, EMILIO,793,PARQUE CHACABUCO,COMUNA 7,1424,C1424AYO,-34.6309343,-58.44229081,,,,
33,MONUMENTO,1,BRONCE Y MARMOL,HOMENAJE A LOS CAIDOS EN CASTILLA,BAIARDI, MARIO,,,OBLIGADO RAFAEL, AV.COSTANERA,OBLIGADO RAFAEL, AV.COSTANERA,,,COMUNA 1,,,,,,,,
34,MONUMENTO,1,BRONCE Y GRANITO,CAP.GRL.JUSTO JOSE DE URQUIZA,BALDI,RENZO Y ROCHA,HECTOR,,,FIGUEROA ALCORTA, PRES. AV. Y SARMIENTO AV.,FIGUEROA ALCORTA, PRES. AV.,,PALERMO,COMUNA 14,,,-34.5715458,-58.4115809,,,
35,BUSTO,1,CEMENTO PATINADO,COMANDANTE LUIS J. FONTANA,BALERO, LUIS,,,IRIGOYEN, BERNARDO DE 248,IRIGOYEN, BERNARDO DE,248,MONSERRAT,COMUNA 1,1072,C1072AAF,-34.61127969,-58.38052428,,,,
36,ESTATUA,1,GRANITO RECONSTITUIDO,TESTIMONIO,BALIETTI, ALBERTO,,,BOEDO AV. 956,BOEDO AV.,956,BOEDO,COMUNA 5,1218,C1218AAS,-34.62494075,-58.4160448,,,,,,
37,BUSTO,1,MARMOL,JOAQUIN S. DE ANCHORENA,BALIETTI, ALBERTO,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
38,BUSTO,1,MARMOL,TOMAS JOSE CABALLERO,BALIETTI, ALBERTO,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
40,BUSTO,1,MARMOL,GIACOMO LEOPARDI,BALIETTI, ALBERTO,JARDIN DE LOS POETAS,JARDIN DE LOS POETAS,ISABEL, INFANTA AV. 900,ISABEL, INFANTA AV.,900,,COMUNA 14,1425,C1425CHA,-34.5700668,-58.42048287,,,,
42,MASTIL,1,MAMPOSTERIA E HIERRO,HJE. A LA BANDERA,E.A.I.M.,PLAZA 11 DE NOVIEMBRE DE 1859,PLAZA 11 DE NOVIEMBRE DE 1859,DIRECTORIO AV. 2600,DIRECTORIO AV.,2600,FLORES,COMUNA 7,1406,C1406HAO,-34.63435474,-58.46331989,,,,,,,
44,BUSTO,1,BRONCE,DR. JUAN MANUEL ESTRADA,BARDAS, NICOLAS,ESCUELAS RAGGIO,ESCUELAS RAGGIO,DEL LIBERTADOR AV. 8635,DEL LIBERTADOR AV.,8635,NUÑEZ,COMUNA 13,1429,C1429BNG,-34.53610673,-58.46649605,,,,,,
45,ESTATUA,1,MARMOL,LA OLA,BARDAS, NICOLAS ISIDRO,PARQUE BALNEARIO SUR,PARQUE BALNEARIO SUR,PAZ, GRAL. AV. 16802,PAZ, GRAL. AV.,16802,,COMUNA 8,1439,C1439HNO,-34.69801445,-58.46981073,,,,
46,ESTATUA,1,MARMOL,LA ARMONIA,BARDAS, NICOLAS ISIDRO,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
47,MASTIL,1,BRONCE Y MAMPOSTERIA,HOMENAJE A LA BANDERA,BARRIAS, ERNESTO,PZTA MALAGARRIGA,PZTA MALAGARRIGA,CABILDO AV. 4002,CABILDO AV.,4002,SAAVEDRA,COMUNA 12,1429,C1429AAY,-34.54639654,-58.47035172,,,,,,
48,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. A DON FELICIANO BRUNELLI,D.G.O.P.,CNEL APOLINARIO FIGUEROA 602,CNEL APOLINARIO FIGUEROA 602,FIGUEROA, D. APOLINARIO, CORONEL 602,FIGUEROA, D. APOLINARIO, CORONEL,602,VILLA CRESPO,COMUNA 15,1416,C1416DPD,-34.60615041,-58.44835375,,,
49,MASTIL,1,MAMPOSTERIA Y BRONCE,HOMENAJE A LA BANDERA,BARRIAS, LUIS ERNESTO,AV RIESTRA Y M LEGUIZAMON,AV RIESTRA Y M LEGUIZAMON,RIESTRA AV. Y LEGUIZAMON, MARTINIANO,RIESTRA AV.,,VILLA LUGANO,COMUNA 8,,,-34.67792361,-58.47613343,,,,,
52,ESCULTURA NEOFIGURA,1,HIERRO,EL ARBOL,BASTERRETXEA, N.,PARQUE CARLOS THAYS,PARQUE CARLOS THAYS,DEL LIBERTADOR AV. Y CALLAO AV.,DEL LIBERTADOR AV.,,RECOLETA,COMUNA 2,,,-34.58658516,-58.3858523,,,,,,
53,ESTATUA,1,MARMOL,ALLA FONTE,BATTIGLIA, C,PASEO DE LA RECOLETA,PASEO DE LA RECOLETA,LOPEZ, VICENTE 2050,LOPEZ, VICENTE,2050,RECOLETA,COMUNA 2,1128,C1128ACF,-34.58891944,-58.39362848,,,,
54,GRUPO ESCULTORICO,1,BRONCE,HOMENAJE A LA MADRE,BATTISTI, FERRARO,AV RIESTRA Y MURGUIONDO,AV RIESTRA Y MURGUIONDO,RIESTRA AV. Y MURGUIONDO,RIESTRA AV.,,VILLA LUGANO,COMUNA 8,,,-34.67721779,-58.47533419,,,,,,
56,BUSTO Y BASE,1,BRONCE Y MAMPOSTERIA,HJE. AL GRL. SAN MARTINN,PERLOTI, LUIS,CNEL APOLINARIO FIGUEROA 602,CNEL APOLINARIO FIGUEROA 602,FIGUEROA, D. APOLINARIO, CORONEL 602,FIGUEROA, D. APOLINARIO, CORONEL,602,VILLA CRESPO,COMUNA 15,1416,C1416DPD,-34.60615041,-58.44835375,,
57,MASTIL,1,HIERRO Y BRONCE,ARGENTINIDAD,PERLOTI, LUIS,CNEL APOLINARIO FIGUEROA 602,CNEL APOLINARIO FIGUEROA 602,FIGUEROA, D. APOLINARIO, CORONEL 602,FIGUEROA, D. APOLINARIO, CORONEL,602,VILLA CRESPO,COMUNA 15,1416,C1416DPD,-34.60615041,-58.44835375,,
58,PLACA Y MONOLITO,1,FIBROCEMENTO Y MAMPOSTERIA,ESCUDO URUGUAYO,M.O.A.,14 DE JULIO 1150,14 DE JULIO 1150,14 DE JULIO 1150,14 DE JULIO,1150,VILLA ORTUZAR,COMUNA 15,1427,C1427CJX,-34.58017227,-58.46188374,,,,,,,
59,ESTATUA,1,BRONCE,PUREZA,BIGATTI, ALFREDO,JARDIN BOTANICO,JARDIN BOTANICO,SANTA FE AV. 3951,SANTA FE AV.,3951,PALERMO,COMUNA 14,1425,C1425BHB,-34.58373108,-58.41788399,,,,,,
60,GRUPO ESCULTORICO,1,BRONCE,SATURNALIA,BIONDI, ERNESTO,JARDIN BOTANICO,JARDIN BOTANICO,SANTA FE AV. 3951,SANTA FE AV.,3951,PALERMO,COMUNA 14,1425,C1425BHB,-34.58373108,-58.41788399,,,,,,
61,MONUMENTO CON RELIE,1,CEMENTO PATINADO,HOMENAJE A LOS HEROES Y MARTIRES GHETTO,BISCIONE, CARLOS,PARQUE DEL CENTENARIO,PARQUE DEL CENTENARIO,DIAZ VELEZ AV. Y FINOCHIETTO, RICARDO, DR.,DIAZ VELEZ AV.,,CABALLITO,COMUNA 6,,,-34.60862275,-58.43579197,,,,
63,GRUPO ESCULTORICO,1,MARMOL,LOS PRIMEROS FRIOS,BLAY Y FABREGAS, M.,JARDIN BOTANICO,JARDIN BOTANICO,SANTA FE AV. 3951,SANTA FE AV.,3951,PALERMO,COMUNA 14,1425,C1425BHB,-34.58373108,-58.41788399,,,,,,
64,PLACA Y MONOLITO,1,FIBROCEMENTO Y MAMPOSTERIA,ESCUDO NACIONAL,M.O.A.,14 DE JULIO 1150,14 DE JULIO 1150,14 DE JULIO 1150,14 DE JULIO,1150,VILLA ORTUZAR,COMUNA 15,1427,C1427CJX,-34.58017227,-58.46188374,,,,,,,
65,MASTIL,1,MAMPOSTERIA E HIERRO,HJE. A LA BANDERA,RAVAZZOLI, ING. LUIS,14 DE JULIO 1150,14 DE JULIO 1150,14 DE JULIO 1150,14 DE JULIO,1150,VILLA ORTUZAR,COMUNA 15,1427,C1427CJX,-34.58017227,-58.46188374,,,,,,
66,ESCULTURA,1,BRONCE,TORSO MASCULINO,BOTERO, FERNANDO,PARQUE CARLOS THAYS,PARQUE CARLOS THAYS,DEL LIBERTADOR AV. Y CALLAO AV.,DEL LIBERTADOR AV.,,RECOLETA,COMUNA 2,,,-34.58658516,-58.3858523,,,,,,
67,MONOLITO,1,GRANITO,HJE.AL BRIGADIER GRL.LAVALLEJA,,14 DE JULIO 1150,14 DE JULIO 1150,14 DE JULIO 1150,14 DE JULIO,1150,VILLA ORTUZAR,COMUNA 15,1427,C1427CJX,-34.58017227,-58.46188374,,,,,,,
68,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,NOMENCLATURA DE PLAZA,D.G.M.,FIGUERO ALCORTA 4000,FIGUERO ALCORTA 4000,FIGUEROA ALCORTA, PRES. AV. 4000,FIGUEROA ALCORTA, PRES. AV.,4000,PALERMO,COMUNA 14,1425,C1425CLS,-34.57052915,-58.41333949,,,,,
69,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE.A JUAN BAUTISTA ALBERDI,D.G.O.M.,O HIGGINS 2600,O HIGGINS 2600,O'HIGGINS 2600,O'HIGGINS,2600,BELGRANO,COMUNA 13,1428,C1428AGP,-34.5553411,-58.45690141,,,,,,,
70,GRUPO ESCULTORICO,1,MARMOL,EL PERDON,BOVERIE, EUGENIO,PARQUE AVELLANEDA,PARQUE AVELLANEDA,DIRECTORIO AV. Y LACARRA,DIRECTORIO AV.,,PARQUE AVELLANEDA,COMUNA 9,,,-34.64129755,-58.47992772,,,,,,
71,MASTIL,1,HIERRO,HJE. A LA BANDERA,CONST.HORIZONTES,O HIGGINS 2600,O HIGGINS 2600,O'HIGGINS 2600,O'HIGGINS,2600,BELGRANO,COMUNA 13,1428,C1428AGP,-34.5553411,-58.45690141,,,,,,,
73,BUSTO,1,MARMOL,ADOLFO J. BULLRICH,BRODSKY, JOSE,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
74,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE.A LAUREANO OLIVER,D.G.O.M.,O HIGGINS 2600,O HIGGINS 2600,O'HIGGINS 2600,O'HIGGINS,2600,BELGRANO,COMUNA 13,1428,C1428AGP,-34.5553411,-58.45690141,,,,,,,
75,BUSTO,1,MARMOL,JOSE MARMOL,BRUNINX, JOSE,PASEO DEL LECTOR,PASEO DEL LECTOR,LAS HERAS GENERAL AV. 2505,LAS HERAS GENERAL AV.,2505,RECOLETA,COMUNA 2,1425,C1425ASC,-34.58561416,-58.39914756,,,,,,
76,BUSTO,1,BRONCE,DR. MARCIAL V. QUIROGA,BRUNINX, LUIS,HOSPITAL MUNICIPAL RAMOS MEJIA,HOSPITAL MUNICIPAL RAMOS MEJIA,URQUIZA, GRAL. 609,URQUIZA, GRAL.,609,BALVANERA,COMUNA 3,1221,C1221ADC,-34.61762051,-58.40940032,,,,
77,BUSTO,1,BRONCE,RAMON PEREZ AYALA,BUCCI, ARMANDO,JARDIN DE LOS POETAS,JARDIN DE LOS POETAS,ISABEL, INFANTA AV. 900,ISABEL, INFANTA AV.,900,,COMUNA 14,1425,C1425CHA,-34.5700668,-58.42048287,,,,
78,MONUMENTO,1,BRONCE Y PIEDRA,GENERAL MARTIN MIGUEL DE GUEMES,BUCCI, ERMANDO,PARQUE SAN BENITO,PARQUE SAN BENITO,FIGUEROA ALCORTA, PRES. AV. 6700,FIGUEROA ALCORTA, PRES. AV.,6700,BELGRANO,COMUNA 13,1428,C1428BCP,-34.55076453,-58.43755598,,,,
80,BUSTO,1,MARMOL,CESAR B. CACCIA,BUCCI, ERMANDO,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
83,BUSTO,1,BRONCE Y MARMOL,ENRIQUE LARRETA,BUSTILLO, ALEJANDRO,JARDIN DE LOS POETAS,JARDIN DE LOS POETAS,ISABEL, INFANTA AV. 900,ISABEL, INFANTA AV.,900,,COMUNA 14,1425,C1425CHA,-34.5700668,-58.42048287,,,,
84,BUSTO,1,CEMENTO PATINADO,ALBERTO VACCAREZZA,TOTO, CARLOS MARIA,PLAZA ALBERTO VACCAREZZA,PLAZA ALBERTO VACCAREZZA,ALCARAZ 5400,ALCARAZ,5400,VILLA LURO,COMUNA 10,1407,C1407GIZ,-34.6260096,-58.51122985,,,,,,
85,RELOJ SOLAR,1,,MOTIVO DECORATIVO,NATIONAL PANASONIC,PLAZA ALFEREZ SOBRAL,PLAZA ALFEREZ SOBRAL,SALGUERO, JERONIMO 2502,SALGUERO, JERONIMO,2502,PALERMO,COMUNA 14,1425,C1425DEW,-34.58212278,-58.4102026,,,,,
86,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,NOMENCLATURA DE PLAZOLETA,D.G.M,PLAZA ALFREDO NOBEL,PLAZA ALFREDO NOBEL,TURIN 3300,TURIN,3300,PARQUE CHAS,COMUNA 15,1431,C1431DHH,-34.58759752,-58.48374281,,,,,,,
89,PLACA Y MONOLITO,1,MARMOL Y MAMPOSTERIA,HJE. A LA VIRGEN DE ITATI,D.G.O.M.,PLAZA ALMAGRO,PLAZA ALMAGRO,SARMIENTO 3800,SARMIENTO,3800,ALMAGRO,COMUNA 5,1197,C1197AAB,-34.60534232,-58.41822092,,,,,,,
94,MASTIL,1,GRANITO RECONSTITUIDO,HJE. A LA BANDERA,VARANGOT, ING. JORGE,PLAZA ALMAGRO,PLAZA ALMAGRO,SARMIENTO 3800,SARMIENTO,3800,ALMAGRO,COMUNA 5,1197,C1197AAB,-34.60534232,-58.41822092,,,,,,
95,PLACA Y MONOLITO,1,MARMOL Y MAMPOSTERIA,HJE. A VICENTE SAN LORENZO,,PLAZA ALMAGRO,PLAZA ALMAGRO,SARMIENTO 3800,SARMIENTO,3800,ALMAGRO,COMUNA 5,1197,C1197AAB,-34.60534232,-58.41822092,,,,,,,
96,ESTATUA,1,BRONCE,DR. JUAN F. AGUILAR,CARLIN, JOSE,HOSPITAL MUNICIPAL RAMOS MEJIA,HOSPITAL MUNICIPAL RAMOS MEJIA,URQUIZA, GRAL. 609,URQUIZA, GRAL.,609,BALVANERA,COMUNA 3,1221,C1221ADC,-34.61762051,-58.40940032,,,,
97,ESTATUA,1,PIEDRA,JUVENTUD,CAPURRO, ROBERTO,PLAZA ALMIRANTE BROWN,PLAZA ALMIRANTE BROWN,SALVADORES, CNEL. E IRALA,SALVADORES, CNEL.,,BOCA,COMUNA 4,,,-34.64444352,-58.36546878,,,,
99,ESTATUA,1,BRONCE,EL MODERNO ANTEO,LEGUIZAMON PONDAL,PLAZA ALMIRANTE BROWN,PLAZA ALMIRANTE BROWN,SALVADORES, CNEL. E IRALA,SALVADORES, CNEL.,,BOCA,COMUNA 4,,,-34.64444352,-58.36546878,,,,,
101,MASTIL MONUMENTAL,1,PIEDRA,GLORIAS NAVALES DE LA NACION,LEONE, JUAN BAUTISTA,PLAZA ALMIRANTE BROWN,PLAZA ALMIRANTE BROWN,SALVADORES, CNEL. E IRALA,SALVADORES, CNEL.,,BOCA,COMUNA 4,,,-34.64444352,-58.36546878,,,,
102,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE.A CARLOS PELLEGRINI,CASAS, C.,PZTA CARLOS PELLEGRINI,PZTA CARLOS PELLEGRINI,ALVEAR AV. 1350,ALVEAR AV.,1350,RETIRO,COMUNA 1,1014,C1014AAN,-34.59167892,-58.38310936,,,,,,
103,BUSTO,1,CEMENTO BLANCO,ALMTE. RAMON GONZALEZ FERNANDEZ,FERRARO, JUAN CARLOS,PLAZA ALMTE RAMON GONZALEZ FERNA,PLAZA ALMTE RAMON GONZALEZ FERNA,SARMIENTO AV. E IRAOLA AV.,SARMIENTO AV.,,PALERMO,COMUNA 14,,,-34.57214617,-58.41246804,,,,,,
105,PLACA,1,BRONCE,HOMENAJE AL GRL. SAN MARTINN,CENTRO COMERCIAL,BIBLIOTECA EL PROGRESO,BIBLIOTECA EL PROGRESO,RIESTRA AV. 5655,RIESTRA AV.,5655,VILLA LUGANO,COMUNA 8,1439,C1439BYH,-34.67680479,-58.47495722,,,,,,,
107,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,NOMENCLATURA DE PLAZA,E.A.I.M.,PLAZA ANTONIO MALAVER,PLAZA ANTONIO MALAVER,GIRARDOT Y ESTOMBA,GIRARDOT,,VILLA ORTUZAR,COMUNA 15,,,-34.5869464,-58.46729026,,,,,,,
110,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. A PROCERES DE LA INDEPENDENCIA,D.O.M.,PLAZA ARENALES,PLAZA ARENALES,MERCEDES 4058,MERCEDES,4058,VILLA DEVOTO,COMUNA 11,1419,C1419BGJ,-34.60024618,-58.51281285,,,,,,,
111,MASTIL,1,MAMPOSTERIA,HJE. A LA BANDERA,PERLOTI, LUIS,PLAZA ARENALES,PLAZA ARENALES,MERCEDES 4058,MERCEDES,4058,VILLA DEVOTO,COMUNA 11,1419,C1419BGJ,-34.60024618,-58.51281285,,,,,,
112,ESTATUA,1,BRONCE,LA CAUTIVA,CHIERICO, SANTIAGO,PZTA VICENTE BELLINI,PZTA VICENTE BELLINI,RIVADAVIA AV. 9175,RIVADAVIA AV.,9175,VELEZ SARSFIELD,COMUNA 10,1407,C1407DZA,-34.63648455,-58.49349567,,,,,,
113,MONUMENTO Y BASE,1,BRONCE Y MAMPOSTERIA,CONDE ANTONIO DEVOTO,ZOCCHI, ARNALDO,PLAZA ARENALES,PLAZA ARENALES,MERCEDES 4058,MERCEDES,4058,VILLA DEVOTO,COMUNA 11,1419,C1419BGJ,-34.60024618,-58.51281285,,,,,,
115,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. 150° ANIV. INDEPENDENCIA NACION,,PLAZA ARENALES,PLAZA ARENALES,MERCEDES 4058,MERCEDES,4058,VILLA DEVOTO,COMUNA 11,1419,C1419BGJ,-34.60024618,-58.51281285,,,,,,,
117,BUSTO,1,QUEBRACHO,DR. PROSPERO DECO,CONDINO, B. R.,HOSPITAL MUNICIPAL PEÑA,HOSPITAL MUNICIPAL PEÑA,CHUTRO, PEDRO, PROF., DR. 3380,CHUTRO, PEDRO, PROF., DR.,3380,PARQUE PATRICIOS,COMUNA 4,1437,C1437IYP,-34.64305175,-58.41141236
118,MASTIL,1,MAMPOSTERIA E HIERRO,HJE. A LA BANDERA,D.A.O.M.,PLAZA ARISTOBULO DEL VALLE,PLAZA ARISTOBULO DEL VALLE,CUENCA 2500,CUENCA,2500,VILLA DEL PARQUE,COMUNA 11,1417,C1417AAF,-34.60701132,-58.49067548,,,,,,,
120,BUSTO,1,CEMENTO PATINADO,GRL. SAN MARTINN,M.O.A.,PLAZA ARISTOBULO DEL VALLE,PLAZA ARISTOBULO DEL VALLE,CUENCA 2500,CUENCA,2500,VILLA DEL PARQUE,COMUNA 11,1417,C1417AAF,-34.60701132,-58.49067548,,,,,,,
121,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. AL 50° ANIV. DE VILLA DEL PARQU,,PLAZA ARISTOBULO DEL VALLE,PLAZA ARISTOBULO DEL VALLE,CUENCA 2500,CUENCA,2500,VILLA DEL PARQUE,COMUNA 11,1417,C1417AAF,-34.60701132,-58.49067548,,,,,,,
122,ESTATUA,1,MARMOL,LA PRIMAVERA,CORREA MORALES, L.,JARDIN BOTANICO,JARDIN BOTANICO,SANTA FE AV. 3951,SANTA FE AV.,3951,PALERMO,COMUNA 14,1425,C1425BHB,-34.58373108,-58.41788399,,,,,,
123,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. AL GRL. SAN MARTINN,,PLAZA ARISTOBULO DEL VALLE,PLAZA ARISTOBULO DEL VALLE,CUENCA 2500,CUENCA,2500,VILLA DEL PARQUE,COMUNA 11,1417,C1417AAF,-34.60701132,-58.49067548,,,,,,,
124,MONUMENTO,1,BRONCE Y PIEDRA,FALUCHO,CORREA MORALES, L.,PZTA FALUCHO,PZTA FALUCHO,SANTA FE AV. Y DRESCO, ARTURO ANTONIO,SANTA FE AV.,,PALERMO,COMUNA 14,,,-34.57726337,-58.42931077,,,,,
125,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. A CANILLITAS AL GRL. BELGRANO,,PLAZA ARISTOBULO DEL VALLE,PLAZA ARISTOBULO DEL VALLE,CUENCA 2500,CUENCA,2500,VILLA DEL PARQUE,COMUNA 11,1417,C1417AAF,-34.60701132,-58.49067548,,,,,,,
126,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE.A LA ASOCIACION VECINAL V.DEL PARQU,,PLAZA ARISTOBULO DEL VALLE,PLAZA ARISTOBULO DEL VALLE,CUENCA 2500,CUENCA,2500,VILLA DEL PARQUE,COMUNA 11,1417,C1417AAF,-34.60701132,-58.49067548,,,,,,,
127,PLACA Y MONOLITO,1,MARMOL Y MAMPOSTERIA,HJE.CENTENARIO VILLA GRAL. MITRE,,PLAZA ARISTOBULO DEL VALLE,PLAZA ARISTOBULO DEL VALLE,CUENCA 2500,CUENCA,2500,VILLA DEL PARQUE,COMUNA 11,1417,C1417AAF,-34.60701132,-58.49067548,,,,,,,
128,MONUMENTO,1,BRONCE Y MARMOL,DR. CARLOS PELLEGRINI,COUTAN, JULIO FELIX,PZTA CARLOS PELLEGRINI,PZTA CARLOS PELLEGRINI,ALVEAR AV. 1350,ALVEAR AV.,1350,RETIRO,COMUNA 1,1014,C1014AAN,-34.59167892,-58.38310936,,,,,,
129,GRUPO ESCULTORICO,1,MARMOL,EL ABORIGEN,CULLEN AYERZA, H.,PARQUE ESPAÑA,PARQUE ESPAÑA,CASEROS AV. Y BAIGORRI,CASEROS AV.,,BARRACAS,COMUNA 4,,,-34.63334965,-58.38727373,,,,,,
